# t1 t2 t3
0.0006372000 0.0050734000 0.0000164000
0.0006257000 0.0049824000 0.0000195000
0.0006298000 0.0049644000 0.0000164000
0.0006351000 0.0052841000 0.0000198000
0.0007807000 0.0052832000 0.0000169000
0.0006792000 0.0052797000 0.0000201000
0.0007145000 0.0054509000 0.0000184000
0.0007022000 0.0053437000 0.0000211000
0.0006653000 0.0053046000 0.0000168000
0.0007434000 0.0056761000 0.0000213000
0.0006820000 0.0057001000 0.0000185000
0.0007026000 0.0058664000 0.0000225000
0.0007140000 0.0058365000 0.0000186000
0.0007345000 0.0061603000 0.0000232000
0.0007424000 0.0060991000 0.0000196000
0.0007472000 0.0062750000 0.0000234000
0.0007648000 0.0061997000 0.0000191000
0.0007840000 0.0063805000 0.0000229000
0.0007736000 0.0063751000 0.0000196000
0.0008032000 0.0067286000 0.0000249000
0.0008546000 0.0064351000 0.0000192000
0.0008443000 0.0063889000 0.0000221000
0.0007480000 0.0061318000 0.0000182000
0.0007399000 0.0077484000 0.0000409000
0.0012900000 0.0064939000 0.0000182000
0.0007508000 0.0066434000 0.0000229000
0.0007571000 0.0064075000 0.0000187000
0.0007585000 0.0067295000 0.0000231000
0.0007639000 0.0064935000 0.0000182000
0.0007630000 0.0069516000 0.0000231000
0.0007770000 0.0066543000 0.0000192000
0.0007894000 0.0069031000 0.0000232000
0.0008054000 0.0069382000 0.0000200000
0.0008703000 0.0070194000 0.0000234000
0.0009137000 0.0077413000 0.0000213000
0.0008087000 0.0071180000 0.0000246000
0.0009257000 0.0070785000 0.0000207000
0.0008479000 0.0072235000 0.0000240000
0.0008799000 0.0074346000 0.0000212000
0.0008135000 0.0075992000 0.0000261000
0.0009282000 0.0073538000 0.0000222000
0.0008220000 0.0079008000 0.0000263000
0.0008404000 0.0074545000 0.0000199000
0.0008390000 0.0078108000 0.0000249000
0.0008598000 0.0082268000 0.0000226000
0.0008750000 0.0080411000 0.0000254000
0.0009154000 0.0078140000 0.0000215000
0.0008535000 0.0081463000 0.0000267000
0.0009107000 0.0083104000 0.0000213000
0.0010711000 0.0085584000 0.0000269000
0.0009098000 0.0086819000 0.0000236000
0.0009847000 0.0090523000 0.0000286000
0.0009493000 0.0088342000 0.0000234000
0.0009545000 0.0090596000 0.0000278000
0.0009602000 0.0091420000 0.0000255000
0.0009675000 0.0093081000 0.0000291000
0.0009753000 0.0092267000 0.0000235000
0.0009812000 0.0093843000 0.0000283000
0.0009838000 0.0095182000 0.0000244000
0.0010240000 0.0097596000 0.0000292000
0.0012269000 0.0089194000 0.0000222000
0.0009366000 0.0089726000 0.0000263000
0.0009444000 0.0091689000 0.0000229000
0.0009455000 0.0091955000 0.0000268000
0.0012665000 0.0092063000 0.0000233000
0.0009618000 0.0094691000 0.0000273000
0.0014824000 0.0094335000 0.0000237000
0.0010025000 0.0100733000 0.0000301000
0.0010659000 0.0100889000 0.0000249000
0.0010611000 0.0103477000 0.0000292000
0.0013371000 0.0097585000 0.0000242000
0.0009892000 0.0100326000 0.0000284000
0.0010012000 0.0097810000 0.0000224000
0.0010809000 0.0101318000 0.0000287000
0.0010132000 0.0103032000 0.0000242000
0.0011432000 0.0104191000 0.0000467000
0.0010266000 0.0103745000 0.0000316000
0.0010383000 0.0106918000 0.0000299000
0.0010363000 0.0107410000 0.0000245000
0.0012149000 0.0105940000 0.0000289000
0.0010910000 0.0107449000 0.0000254000
0.0010592000 0.0111998000 0.0000298000
0.0010624000 0.0107486000 0.0000238000
0.0010616000 0.0110050000 0.0000315000
0.0010731000 0.0109414000 0.0000255000
0.0010727000 0.0114498000 0.0000317000
0.0011345000 0.0117847000 0.0000256000
0.0010945000 0.0112760000 0.0000305000
0.0011652000 0.0120442000 0.0000263000
0.0011590000 0.0115978000 0.0000311000
0.0013597000 0.0114898000 0.0000253000
0.0011130000 0.0117257000 0.0000310000
0.0011203000 0.0119241000 0.0000250000
0.0011238000 0.0121414000 0.0000336000
0.0011412000 0.0121259000 0.0000281000
